branch,long,lat
"Westfield Fountain Gate, 352 Princes Highway, Westfield Fountain Gate, Narre Warren, VIC, 3805",145.304441,-38.018206
"330 Collins St, Melbourne, VIC, 3000",144.9632169,-37.816309
"460 Collins St, Melbourne, VIC, 3000",144.9588519,-37.8176731
"288 Lygon Street, Carlton, VIC, 3053",144.967263,-37.800216
"22 Watton St, Werribee, VIC, 3030",144.6610027,-37.9013437
"Northland Shopping Centre, 2-50 Murray Road, Northland Shopping Centre, Preston, VIC, 3072",145.028486,-37.739435
"260 Clarendon St, South Melbourne, VIC, 3205",144.960053,-37.832441
"415 High Street, Preston, VIC, 3072",145.0036827,-37.7397169
"Brimbank Plaza Shopping Centre, 28 Neale Road, Corner Station Road, Brimbank Plaza Shopping Centre, Deer Park, VIC, 3023",144.774633,-37.75101
"Mountain Gate Shopping Centre, 854 Burwood Highway, Mountain Gate Shopping Centre, Ferntree Gully, VIC, 3156",145.2775212,-37.8832364
"Eastland Shopping Centre, 171-175 Maroondah Highway, Eastland Shopping Centre, Ringwood, VIC, 3134",145.228367,-37.813561
"637 Glenferrie Rd, Hawthorn, VIC, 3122",145.0354563,-37.8217819
"Westfield Knox, 425 Burwood Highway, Westfield Knox, Wantirna South, VIC, 3152",145.241575,-37.868437
"224-228 Smith St, Collingwood, VIC, 3066",144.983778,-37.802306
"Stud Park Shopping Centre, Cnr Stud & Fulham Rds, Stud Park Shopping Centre, Rowville, VIC, 3178",145.236512,-37.920837
"337 Bridge Road, Richmond, VIC, 3121",145.001038,-37.818604
"535 Bourke St, Melbourne, VIC, 3000",144.958025,-37.815865
"Westfield Doncaster, 619 Doncaster Rd, Westfield Doncaster, Doncaster, VIC, 3108",145.125191,-37.78638
"42 Murray St, Colac, VIC, 3250",143.5894811,-38.3396471
"35 Church Street, Brighton, VIC, 3186",144.99382,-37.9133771
"73 Church Street, Whittlesea, VIC, 3757",145.1180463,-37.5117932
"Chadstone Shopping Centre, 1341 Dandenong Road, Chadstone Shopping Centre, Chadstone, VIC, 3148",145.08464,-37.887426
"566 Burke Rd, Camberwell, VIC, 3124",145.0568134,-37.8308659
"359 Whitehorse Rd, Balwyn, VIC, 3103",145.0816238,-37.812852
"700 Bourke Street, Docklands, VIC, 3008",144.94967,-37.817567
"1001 Sturt Street, Ballarat, VIC, 3350",143.8456968,-37.5607672
"293 Spring Street, Reservoir, VIC, 3073",145.00685,-37.715886
"800 Bourke Street, Docklands, VIC, 3008",144.945814,-37.81904
"49-51 Main St, Greensborough, VIC, 3088",145.1042854,-37.7033247
