loan_amount,loan_type
1590071.0,1
1589968.0,0
1589900.0,0
1590024.0,1
1589990.0,0
1589886.0,0
1590265.0,0
1590144.0,0
1590010.0,1
1589688.0,0
1589892.0,1
1589967.0,0
1589896.0,0
1589957.0,1
1589897.0,0
1589948.0,1
1589958.0,0
1589990.0,0
1892550.0,1
1892640.0,1
1892558.0,0
1892555.0,1
1892391.0,0
1892412.0,0
1892622.0,0
1892285.0,1
1892431.0,0
1892521.0,0
1892493.0,1
1892539.0,0
1892592.0,1
1892624.0,0
799891.0,0
799821.0,0
800034.0,1
799875.0,0
800037.0,0
800046.0,0
799772.0,0
800000.0,0
800240.0,0
799742.0,1
800131.0,0
799842.0,0
799916.0,1
799983.0,0
799793.0,0
800045.0,0
800005.0,0
799976.0,0
799979.0,1
800040.0,0
800018.0,0
800124.0,0
799971.0,0
800003.0,1
799913.0,0
800060.0,1
800073.0,0
800136.0,0
800134.0,0
799854.0,0
800097.0,0
800004.0,1
800243.0,0
800042.0,0
800184.0,0
799978.0,0
800034.0,1
1749944.0,0
1749983.0,1
1749991.0,0
1749958.0,0
928227.0,0
928056.0,0
928054.0,0
927991.0,0
928023.0,0
927872.0,0
927818.0,0
927936.0,1
928131.0,0
928070.0,0
927982.0,1
927966.0,1
928037.0,0
927839.0,1
928094.0,0
927934.0,0
928046.0,1
927998.0,0
927965.0,0
928139.0,0
927942.0,0
927891.0,0
928023.0,0
928071.0,0
928174.0,0
927930.0,1
927938.0,0
604791.0,1
604892.0,0
604949.0,1
604973.0,0
605185.0,0
604930.0,0
604922.0,1
604878.0,1
605143.0,0
2250107.0,0
2249713.0,0
2249931.0,0
2249955.0,0
2249875.0,0
2249879.0,1
2249941.0,0
2249869.0,0
2249871.0,1
2250126.0,0
2249870.0,0
2249902.0,0
2249974.0,0
2249993.0,0
2249828.0,0
2250036.0,0
2250157.0,1
2249928.0,0
2249847.0,0
2250104.0,0
2249899.0,0
2250032.0,0
2249962.0,0
2250054.0,0
2250298.0,0
2249969.0,1
2249902.0,0
2250051.0,0
2249854.0,0
2250071.0,1
2249884.0,0
2250065.0,1
2249908.0,0
2250129.0,0
2250043.0,0
2250011.0,1
2249990.0,1
2250112.0,0
2249982.0,0
792622.0,1
792533.0,0
792701.0,0
792492.0,0
792345.0,0
792503.0,0
792617.0,0
792435.0,0
792525.0,0
792417.0,1
792540.0,1
792514.0,0
547159.0,1
546866.0,0
547228.0,0
546983.0,1
547023.0,0
547073.0,0
546799.0,0
546973.0,0
546947.0,0
547128.0,0
547014.0,1
546951.0,0
547005.0,0
546818.0,0
697558.0,1
697552.0,0
697422.0,0
697416.0,1
697421.0,0
697497.0,0
697381.0,0
697513.0,0
697388.0,1
697511.0,0
697603.0,1
697598.0,0
697409.0,0
697455.0,0
697551.0,0
697658.0,1
697453.0,0
697389.0,1
697436.0,1
697444.0,0
697410.0,0
697524.0,0
697426.0,0
697610.0,0
697543.0,0
697437.0,0
697365.0,1
697621.0,1
697328.0,1
697536.0,0
697546.0,0
697629.0,0
697365.0,0
697460.0,1
697516.0,0
697527.0,0
697379.0,0
697575.0,1
697366.0,0
697447.0,0
697397.0,0
697398.0,0
697503.0,0
697210.0,0
697624.0,1
697461.0,0
697436.0,0
697514.0,1
697463.0,0
697427.0,1
697284.0,0
697532.0,0
697508.0,1
697609.0,0
697446.0,0
697543.0,1
628769.0,0
2115960.0,0
2115887.0,0
2115867.0,1
2116128.0,0
2115964.0,1
1134804.0,0
1135022.0,0
1135010.0,1
1135033.0,0
1135165.0,1
1134911.0,0
1134947.0,0
1134878.0,0
1135125.0,0
1134769.0,1
1135159.0,0
1135084.0,0
1134980.0,1
1134828.0,0
1134931.0,0
1135099.0,1
1134943.0,0
1134924.0,1
1135187.0,0
1134977.0,0
1134937.0,1
1135024.0,0
1135057.0,1
1134885.0,0
1134920.0,0
1135038.0,0
1134923.0,1
1134877.0,0
1135089.0,0
1134764.0,1
1135108.0,0
1094972.0,1
1095033.0,0
1095138.0,0
1094770.0,0
1095075.0,1
1094797.0,0
1095001.0,0
1095047.0,0
1095001.0,0
1094979.0,0
755161.0,0
755059.0,0
754802.0,0
755040.0,0
755019.0,0
755101.0,1
755188.0,0
754899.0,1
755037.0,0
754980.0,0
754841.0,0
755007.0,1
754901.0,0
755000.0,0
754895.0,1
754890.0,0
755199.0,0
755054.0,1
755168.0,0
754958.0,1
754984.0,0
755036.0,0
754897.0,0
754823.0,0
755019.0,0
754877.0,1
754876.0,0
754987.0,0
754972.0,0
754960.0,0
754841.0,0
755066.0,1
960129.0,0
960190.0,0
960091.0,0
960040.0,0
959931.0,0
959932.0,1
960133.0,0
960002.0,0
960088.0,1
959911.0,0
959918.0,0
960072.0,0
960070.0,0
959711.0,0
960046.0,0
960086.0,0
960184.0,0
960135.0,1
960074.0,0
959998.0,0
960028.0,0
959988.0,1
960100.0,0
960030.0,0
960001.0,1
960029.0,0
959871.0,0
1700211.0,0
1699990.0,0
1700048.0,0
1700081.0,1
1700158.0,0
1699912.0,1
1699989.0,0
1699988.0,0
1700092.0,0
1700181.0,0
1700068.0,0
1700034.0,0
1700133.0,1
1699912.0,0
1700019.0,1
1700175.0,0
1700052.0,0
1699972.0,1
1699896.0,0
1700004.0,0
1700165.0,0
1700006.0,0
1700005.0,0
959924.0,0
